instrument,direction,entry_date,entry,exit_date,exit,notional_frac,pnl_frac,R,hold_days,exit_reason,cost_frac
AUDUSD=X,SHORT,2022-03-21,0.7409987449645996,2022-05-23,0.7062894701957703,0.4957334471727284,0.02280989328031696,7.241916606197039,63,resize,0.00041085917971481797
USDJPY=X,LONG,2022-03-28,122.2699966430664,2022-04-25,128.60499572753906,0.7380075459005093,0.037966645238443376,12.054036169960291,28,resize,0.00027067590307781344
GBPUSD=X,SHORT,2022-04-25,1.2830876111984253,2022-05-09,1.2326656579971313,0.695097529166396,0.027175781394422727,8.628043110419837,14,resize,0.00013971505342117772
USDJPY=X,LONG,2022-04-25,128.60499572753906,2022-05-23,127.90299987792969,0.6051417107236425,-0.003525441872785097,-1.1192930948403812,28,resize,0.0002222500570215392
GBPUSD=X,SHORT,2022-05-09,1.2326656579971313,2022-06-20,1.2228227853775024,0.5544801794956667,0.0041192699301732345,1.3078276582061736,42,resize,0.0003082710996893167
EURUSD=X,SHORT,2022-05-16,1.0400632619857788,2022-10-10,0.9735012650489807,0.5548444382527494,0.03447037092262172,10.9440034873691,147,resize,0.001038578531920166
AUDUSD=X,SHORT,2022-05-23,0.7062894701957703,2023-02-02,0.7145000696182251,0.3934218002001102,-0.005903540171759194,-1.874315897922524,255,signal_flip,0.0013300204722388334
USDJPY=X,LONG,2022-05-23,127.90299987792969,2022-11-14,139.55299377441406,0.49289241258044725,0.04380091047954083,13.906357959248151,175,resize,0.0010939989726690756
GBPUSD=X,SHORT,2022-06-20,1.2228227853775024,2022-09-12,1.1619395017623901,0.43327588187361166,0.021095534479440514,6.697624560790562,84,resize,0.00047689507874386166
GBPUSD=X,SHORT,2022-09-12,1.1619395017623901,2022-09-26,1.0797386169433594,0.5754894201329093,0.040585563328626395,12.88551688644099,14,resize,0.0001271755593831332
GBPUSD=X,SHORT,2022-09-26,1.0797386169433594,2022-11-07,1.1331573724746704,0.39071902793311425,-0.0195508755044578,-6.207210539805578,42,resize,0.00022052655975074984
EURUSD=X,SHORT,2022-10-10,0.9735012650489807,2023-01-30,1.0871455669403076,0.4478347263716857,-0.05292172384067379,-16.802126428231308,112,resize,0.00064252640312046
GBPUSD=X,SHORT,2022-11-07,1.1331573724746704,2023-01-30,1.2400301694869995,0.2866386466467258,-0.02735191859729112,-8.683964938669792,84,resize,0.0003178325620356435
USDJPY=X,LONG,2022-11-14,139.55299377441406,2023-06-12,139.37100219726562,0.39139063115078876,-0.001553616575253141,-0.49325797090412127,210,resize,0.0010432026004773903
EURUSD=X,SHORT,2023-01-30,1.0871455669403076,2023-03-31,1.0904649496078491,0.5630877615735477,-0.0021965681756803013,-0.6973887756778696,60,signal_flip,0.0004772917393771285
GBPUSD=X,SHORT,2023-01-30,1.2400301694869995,2023-04-03,1.228697419166565,0.4063654771652849,0.003376783874223881,1.0720956434891522,63,resize,0.0003370277772003953
AUDUSD=X,LONG,2023-02-02,0.7145000696182251,2023-02-03,0.7074687480926514,0.3867579419982493,-0.003941474986587291,-1.2513795135949939,1,signal_flip,0.00013542995119362008
AUDUSD=X,SHORT,2023-02-03,0.7074687480926514,2023-06-26,0.6680517792701721,0.38876960151576545,0.020874511500251682,6.6274519403548515,143,resize,0.0007859778194373067
EURUSD=X,LONG,2023-03-31,1.0904649496078491,2023-04-03,1.0803335905075073,0.5859555563938852,-0.005574151970459802,-1.7697383860700753,3,signal_flip,0.0001301198988174414
EURUSD=X,SHORT,2023-04-03,1.0803335905075073,2023-04-04,1.091226577758789,0.5784529322939713,-0.005946373331058802,-1.8879150044074013,1,signal_flip,0.00011384116478158827
GBPUSD=X,SHORT,2023-04-03,1.228697419166565,2023-04-25,1.25,0.5250181575705695,-0.009311042645691915,-2.956164394466124,22,signal_flip,0.0002085235338225212
EURUSD=X,LONG,2023-04-04,1.091226577758789,2023-06-12,1.0750954151153564,0.5628382216437907,-0.00887345749866744,-2.8172354172930363,69,resize,0.0005532469389835999
GBPUSD=X,LONG,2023-04-25,1.25,2023-05-12,1.2508130073547363,0.5072009800727774,9.956558815415503e-05,0.031611094247492734,17,signal_flip,0.00023032091354875837
GBPUSD=X,SHORT,2023-05-12,1.2508130073547363,2023-05-31,1.241187572479248,0.5707385403284415,0.00411798775244561,1.307420579397708,19,signal_flip,0.00027404096692369066
GBPUSD=X,LONG,2023-05-31,1.241187572479248,2023-09-11,1.2489992380142212,0.643110191694912,0.003121493142036001,0.9910433487625053,103,resize,0.0009260511865123448
EURUSD=X,LONG,2023-06-12,1.0750954151153564,2023-10-09,1.056747317314148,0.6959660718856105,-0.012934333492553239,-4.106523575480326,119,resize,0.0010566402443591902
USDJPY=X,LONG,2023-06-12,139.37100219726562,2023-10-02,149.5399932861328,0.49843209000274064,0.035656920766819734,11.320721384080745,112,resize,0.0007104110434896782
AUDUSD=X,SHORT,2023-06-26,0.6680517792701721,2023-09-20,0.646600067615509,0.4979735457482649,0.015358384311305146,4.876135851296332,86,signal_flip,0.0006319703984931982
GBPUSD=X,LONG,2023-09-11,1.2489992380142212,2023-11-20,1.2454540729522705,0.7578521805330861,-0.0028344661127823936,-0.8999150920874606,70,resize,0.0006833750706287723
AUDUSD=X,LONG,2023-09-20,0.646600067615509,2023-09-21,0.6436100006103516,0.5338227623535994,-0.0026738778906022042,-0.8489299121624885,1,signal_flip,0.0002053259861742666
AUDUSD=X,SHORT,2023-09-21,0.6436100006103516,2023-09-26,0.6422001123428345,0.532909758571511,0.0009348804231271495,0.296815332621273,5,signal_flip,0.00023250854774468937
AUDUSD=X,LONG,2023-09-26,0.6422001123428345,2023-10-13,0.6316800117492676,0.534630313854508,-0.009073933099952174,-2.880884447485302,17,signal_flip,0.0003159703185362405
USDJPY=X,LONG,2023-10-02,149.5399932861328,2023-10-05,148.96600341796875,0.6044527625668334,-0.0023835362532852095,-0.7567493000519191,3,signal_flip,6.342272463685211e-05
USDJPY=X,SHORT,2023-10-05,148.96600341796875,2023-10-11,148.6280059814453,0.6610498511434033,0.001361070238346605,0.43212640410678305,6,signal_flip,0.0001388233613612874
EURUSD=X,LONG,2023-10-09,1.056747317314148,2023-11-20,1.090702772140503,0.8355285164465753,0.02639089457738642,8.378849271394502,42,resize,0.00045634726699395094
USDJPY=X,LONG,2023-10-11,148.6280059814453,2023-10-23,149.8800048828125,0.6466732443620147,0.0052924333373012755,1.6802954929064156,12,resize,0.00015495315045033694
