instrument,direction,entry_date,entry,exit_date,exit,notional_frac,pnl_frac,R,hold_days,exit_reason,cost_frac
USDJPY=X,LONG,2018-06-06,109.85900115966797,2018-06-07,110.125,0.7348701209550167,0.0016364414119626836,0.5195540413416792,1,signal_flip,0.0001428811551941205
GLD,LONG,2018-06-07,122.86000061035156,2018-06-25,119.88999938964844,0.519664201101463,-0.012990684416901477,-4.124414439317212,18,resize,0.0004283915310179721
USDJPY=X,SHORT,2018-06-07,110.125,2018-07-09,110.4219970703125,0.7339734967310988,-0.002352340420633666,-0.7468449302354103,32,resize,0.0003728809135629996
AUDUSD=X,SHORT,2018-06-08,0.761440634727478,2018-06-11,0.7601903676986694,0.5816281171552776,0.0007495604787601083,0.23797807432821105,3,signal_flip,0.00020545876337363869
AUDUSD=X,LONG,2018-06-11,0.7601903676986694,2018-06-15,0.7465472221374512,0.5813888272318971,-0.010648719120315658,-3.380863508848047,4,signal_flip,0.00021452693026822032
AUDUSD=X,SHORT,2018-06-15,0.7465472221374512,2019-02-11,0.7101768255233765,0.5886117211952453,0.026775878039861572,8.50107773146432,241,resize,0.0019001937701312833
GLD,LONG,2018-06-25,119.88999938964844,2018-06-27,118.58000183105469,0.6210855349426535,-0.007112584666235472,-2.2581756246900486,2,signal_flip,0.000326192651931877
SPY,LONG,2018-06-25,271.0,2018-07-23,280.20001220703125,0.4216524484415959,0.014106417573816523,4.478648734841958,28,resize,0.0002080018829631696
GLD,SHORT,2018-06-27,118.58000183105469,2018-06-29,118.6500015258789,0.6227484346850881,-0.001006058703221197,-0.31941373596665085,2,signal_flip,0.0006384402202806262
GLD,LONG,2018-06-29,118.6500015258789,2018-07-02,117.45999908447266,0.6277881035868567,-0.006947928959275343,-2.205899058382365,3,signal_flip,0.0006515162635602234
GLD,SHORT,2018-07-02,117.45999908447266,2018-07-03,118.6500015258789,0.6156520170149312,-0.00686065870780491,-2.1781916125129848,1,signal_flip,0.0006234085033538685
GLD,LONG,2018-07-03,118.6500015258789,2018-07-17,116.27999877929688,0.5935660262097091,-0.012554587353740855,-3.985957914124176,14,signal_flip,0.0006982612323462249
USDJPY=X,SHORT,2018-07-09,110.4219970703125,2018-07-12,111.95800018310547,0.8479454312130331,-0.01190296252500334,-3.7790734447296335,3,signal_flip,0.0001077871398628905
EURUSD=X,SHORT,2018-07-12,1.1676785945892334,2018-07-13,1.1665889024734497,0.632688845378051,0.000474044367580696,0.15050442084352933,1,signal_flip,0.00011638869314975238
USDJPY=X,LONG,2018-07-12,111.95800018310547,2018-08-21,109.947998046875,0.7977549075494976,-0.014868080493546076,-4.720469215057608,40,signal_flip,0.0005458429960885546
EURUSD=X,LONG,2018-07-13,1.1665889024734497,2018-07-17,1.170946478843689,0.6381668037513747,0.0022423893506402872,0.7119365477248579,4,signal_flip,0.00014136432505645598
EURUSD=X,SHORT,2018-07-17,1.170946478843689,2018-09-21,1.1775927543640137,0.6419249590208465,-0.004286664198643053,-1.3609736908384202,66,signal_flip,0.0006431072828404652
GLD,SHORT,2018-07-17,116.27999877929688,2018-08-27,114.58999633789062,0.6111889023606282,0.008208949121837892,2.606260548187815,41,resize,0.000674012247213755
EEM,SHORT,2018-07-19,43.34000015258789,2018-07-20,43.959999084472656,0.2958676690518194,-0.004532120358493717,-1.438903605646473,1,signal_flip,0.00029959525130560734
GBPUSD=X,SHORT,2018-07-19,1.3078221082687378,2018-07-25,1.3152183294296265,0.7449303638717126,-0.004439568476039554,-1.409519293925121,6,signal_flip,0.0002267097960850288
EEM,LONG,2018-07-20,43.959999084472656,2018-08-02,43.869998931884766,0.29598082218280325,-0.0009504251606724202,-0.3017506337901396,13,signal_flip,0.0003444579242229064
SPY,LONG,2018-07-23,280.20001220703125,2018-09-24,291.0199890136719,0.5401662094938159,0.020359712302879175,6.464008262188854,63,resize,0.0004989086958083333
GBPUSD=X,LONG,2018-07-25,1.3152183294296265,2018-08-10,1.2828407287597656,0.7757160360494175,-0.019431858016719872,-6.16942365889891,16,signal_flip,0.00033554260929433177
EEM,SHORT,2018-08-02,43.869998931884766,2018-08-03,44.209999084472656,0.28161464287688975,-0.002467725313564195,-0.7834784980451697,1,signal_flip,0.00028516265387977795
EEM,LONG,2018-08-03,44.209999084472656,2018-08-06,43.869998931884766,0.2896060444802109,-0.0025277880741517832,-0.8025478333536621,3,signal_flip,0.0003005521240784359
EEM,SHORT,2018-08-06,43.869998931884766,2018-08-07,44.31999969482422,0.28873308503660067,-0.003254078364110683,-1.033137851778331,1,signal_flip,0.0002923707799808069
EEM,LONG,2018-08-07,44.31999969482422,2018-08-08,44.2599983215332,0.2861606423873759,-0.0006771763888665881,-0.21499683823989124,1,flat,0.00028976592760057343
EEM,LONG,2018-08-09,44.130001068115234,2018-08-13,42.47999954223633,0.30026430421257394,-0.011542147803226824,-3.664518321946639,4,signal_flip,0.00031539620281326565
GBPUSD=X,SHORT,2018-08-10,1.2828407287597656,2018-09-24,1.30804443359375,0.7385816573813735,-0.015028041112596613,-4.771255137166207,45,resize,0.0005172809916329519
EEM,SHORT,2018-08-13,42.47999954223633,2019-06-28,42.90999984741211,0.29138426732663836,-0.004411977420738015,-1.4007594054365968,319,signal_flip,0.0014624641150869835
EFA,SHORT,2018-08-15,65.52999877929688,2018-08-17,66.37999725341797,0.3781707031270373,-0.0052930030298267185,-1.6804763646759469,2,signal_flip,0.00038769970916136665
EFA,LONG,2018-08-17,66.37999725341797,2018-09-04,66.7699966430664,0.37717609845998823,0.0017532940407506414,0.5566536008397293,18,signal_flip,0.0004627115976316517
USDJPY=X,SHORT,2018-08-21,109.947998046875,2018-08-22,110.13400268554688,0.7866484670632792,-0.001483697997040391,-0.4710595105072226,1,signal_flip,0.00015288464457258844
USDJPY=X,LONG,2018-08-22,110.13400268554688,2018-09-07,110.49500274658203,0.7888371443756358,0.002283639600028241,0.7250330958928484,16,signal_flip,0.0003020310404866963
GLD,SHORT,2018-08-27,114.58999633789062,2019-06-03,125.11000061035156,0.5057743334259289,-0.048470011445478044,-15.38875155950271,280,signal_flip,0.002037091307732259
TLT,SHORT,2018-08-27,121.58999633789062,2019-02-05,120.97000122070312,0.6205144718645973,0.0015873103868536025,0.5039554244501234,162,signal_flip,0.0015767323328379666
EFA,SHORT,2018-09-04,66.7699966430664,2018-09-20,68.5999984741211,0.39561754751221906,-0.011318273134983299,-3.593440318304304,16,signal_flip,0.0004753665490368371
USDJPY=X,SHORT,2018-09-07,110.49500274658203,2018-09-14,112.01200103759766,0.7747801351876249,-0.010844661003532475,-3.4430731281776503,7,signal_flip,0.0002076175918218552
USDJPY=X,LONG,2018-09-14,112.01200103759766,2018-09-17,111.9530029296875,0.7540084848622448,-0.0005603098680087666,-0.17789286814639463,3,signal_flip,0.00016316426268967195
USDJPY=X,SHORT,2018-09-17,111.9530029296875,2018-09-26,112.96900177001953,0.7571326235101496,-0.007091651470870275,-2.2515295412001795,9,signal_flip,0.00022050154783518375
EFA,LONG,2018-09-20,68.5999984741211,2018-09-24,68.31999969482422,0.4491316730448944,-0.002304948332783542,-0.7317984088077838,4,signal_flip,0.0004717657818601165
EURUSD=X,LONG,2018-09-21,1.1775927543640137,2018-09-25,1.175295352935791,0.7427183610722815,-0.0016126863586810062,-0.5120120457379503,4,signal_flip,0.0001636945767842481
EFA,SHORT,2018-09-24,68.31999969482422,2018-09-25,68.66000366210938,0.4500835539290152,-0.00269565739087736,-0.8558446891313676,1,signal_flip,0.00045575407370471193
