pair,family,params,train_sharpe,train_ret,train_dd,train_trades,train_wr,oos_sharpe,oos_ret,oos_dd,oos_trades,oos_wr
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 10, ""n"": 2}",-0.586,-19.92,-24.12,60,44.3,-0.007,-1.26,-22.62,59,50.3
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.409,-20.86,-30.12,219,46.0,0.42,16.49,-15.73,150,48.0
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 10, ""n"": 2}",-0.382,-21.43,-33.11,167,48.5,0.567,25.02,-17.74,122,50.7
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 20, ""n"": 2}",-0.245,-9.71,-19.15,112,42.2,-0.117,-4.74,-18.65,88,47.2
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 20, ""n"": 2}",-0.371,-15.52,-27.59,84,44.6,-0.162,-6.73,-23.41,69,49.4
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 2}",-0.418,-22.52,-30.13,292,47.2,0.194,6.61,-14.12,201,48.6
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 2}",-0.445,-25.43,-33.81,241,49.1,0.324,13.21,-15.83,178,50.5
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 30, ""n"": 2}",-0.75,-28.62,-37.05,140,41.3,-0.091,-4.45,-21.77,96,47.7
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 2}",-0.692,-29.18,-39.75,104,43.8,-0.095,-5.09,-25.33,64,50.6
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 2}",-1.128,-50.86,-55.09,384,46.2,0.276,10.71,-14.46,247,49.4
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 2}",-1.043,-49.38,-54.59,356,47.6,0.317,13.04,-13.95,227,51.4
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 10, ""n"": 5}",0.02,0.12,-8.77,40,41.2,-0.179,-2.87,-10.23,22,42.3
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 10, ""n"": 5}",0.191,4.56,-8.84,37,45.1,-0.561,-10.48,-17.63,21,42.2
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 5}",-0.116,-5.21,-15.06,109,43.0,-0.082,-3.0,-14.07,65,42.2
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 10, ""n"": 5}",-0.125,-6.46,-20.24,102,44.9,-0.491,-15.19,-24.31,59,43.0
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 20, ""n"": 5}",0.023,0.11,-12.4,75,42.8,-0.687,-16.98,-24.33,46,41.8
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 20, ""n"": 5}",0.023,0.04,-14.35,69,44.9,-0.873,-22.53,-29.23,44,42.6
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 5}",-0.385,-19.62,-30.17,198,44.4,-0.963,-31.56,-38.81,111,41.8
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 5}",-0.184,-11.81,-25.49,178,47.5,-1.048,-35.66,-43.83,96,44.0
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 30, ""n"": 5}",0.057,1.25,-14.65,106,43.3,-0.433,-13.54,-30.47,65,44.3
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 5}",0.061,1.45,-16.11,91,45.7,-0.713,-22.82,-34.43,60,45.5
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 5}",-0.146,-10.32,-19.45,246,48.4,-0.651,-26.14,-39.64,134,45.1
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 5}",-0.199,-13.79,-21.55,210,49.9,-0.562,-24.36,-38.81,118,46.7
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 14}",-0.23,-5.38,-12.96,23,44.2,-0.294,-5.77,-10.67,21,41.0
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 14}",-0.399,-10.08,-16.73,23,44.1,-0.095,-2.47,-11.32,21,42.4
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 30, ""n"": 14}",0.218,3.59,-7.23,27,44.2,-0.5,-8.95,-16.47,14,42.3
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 14}",-0.054,-1.25,-8.93,25,43.2,-0.335,-6.79,-14.54,13,45.1
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 14}",-0.08,-4.41,-17.07,86,45.9,-0.484,-14.78,-21.57,52,42.6
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 14}",-0.121,-6.63,-20.19,77,46.4,-0.59,-19.22,-23.42,47,43.3
USDJPY,vol_break,"{""hold"": 3, ""k"": 0.5}",-0.392,-22.54,-29.8,432,44.7,-0.976,-36.02,-43.23,249,44.1
USDJPY,vol_break,"{""hold"": 5, ""k"": 0.5}",-0.501,-28.52,-36.83,407,45.2,-1.086,-40.46,-46.98,235,45.6
USDJPY,vol_break,"{""hold"": 10, ""k"": 0.5}",-0.543,-30.98,-38.78,391,45.9,-1.05,-40.07,-46.41,225,46.8
USDJPY,vol_break,"{""hold"": 3, ""k"": 1.0}",-0.396,-14.23,-19.37,157,39.7,-0.725,-18.5,-22.46,82,39.1
