pair,family,params,train_sharpe,train_ret,train_dd,train_trades,train_wr,oos_sharpe,oos_ret,oos_dd,oos_trades,oos_wr,K_configs_tried,control_oos_p95,control_oos_best,control_oos_median,beats_noise,train_oos_decay,verdict,rank_by_oos,usdjpy_buyhold_oos_sharpe,beats_buyhold,train_oos_corr_all_K,expected_above_p95_by_chance,observed_above_p95,notes
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 5}",-0.129,-10.01,-19.52,218,49.3,-0.568,-24.37,-39.31,111,45.9,258,0.514,0.905,-0.225,False,0.439,NOISE,198,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 5}",-0.092,-9.05,-21.8,207,50.0,-0.578,-21.12,-25.12,119,46.9,258,0.514,0.905,-0.225,False,0.486,NOISE,199,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,momentum,"{""hold"": 20, ""look"": 60}",-0.246,-18.78,-36.84,98,50.6,-0.591,-22.42,-37.41,77,48.5,258,0.514,0.905,-0.225,False,0.345,NOISE,200,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 10, ""n"": 5}",0.218,4.61,-7.41,37,44.0,-0.601,-6.68,-11.75,20,35.0,258,0.514,0.905,-0.225,False,0.819,NOISE,201,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,momentum,"{""hold"": 20, ""look"": 20}",-0.181,-15.98,-31.14,194,48.9,-0.602,-27.48,-29.22,130,48.2,258,0.514,0.905,-0.225,False,0.421,NOISE,202,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,momentum,"{""hold"": 20, ""look"": 120}",-0.02,-3.41,-22.6,44,50.6,-0.608,-20.75,-32.26,47,48.7,258,0.514,0.905,-0.225,False,0.588,NOISE,203,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,vol_break,"{""hold"": 3, ""k"": 1.0}",-0.559,-17.2,-22.36,127,37.7,-0.612,-11.97,-15.1,81,36.7,258,0.514,0.905,-0.225,False,0.053,NOISE,204,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.326,-20.18,-28.89,230,43.5,-0.613,-19.93,-20.14,126,43.7,258,0.514,0.905,-0.225,False,0.287,NOISE,205,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,momentum,"{""hold"": 10, ""look"": 10}",-0.343,-25.72,-30.23,285,49.7,-0.616,-28.04,-34.11,192,47.5,258,0.514,0.905,-0.225,False,0.273,NOISE,206,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,momentum,"{""hold"": 10, ""look"": 120}",0.145,7.51,-22.68,86,50.6,-0.621,-28.19,-38.57,73,48.4,258,0.514,0.905,-0.225,False,0.766,NOISE,207,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 5}",-0.353,-17.09,-20.29,191,45.8,-0.622,-16.49,-21.3,112,43.4,258,0.514,0.905,-0.225,False,0.269,NOISE,208,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 10, ""n"": 5}",0.091,2.81,-15.37,102,45.4,-0.628,-18.51,-25.72,56,41.9,258,0.514,0.905,-0.225,False,0.719,NOISE,209,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 2}",-0.709,-40.48,-46.51,355,45.0,-0.637,-22.79,-26.09,210,47.2,258,0.514,0.905,-0.225,False,-0.072,NOISE,210,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,momentum,"{""hold"": 5, ""look"": 20}",-0.354,-26.3,-35.87,195,49.1,-0.638,-28.77,-34.99,129,48.1,258,0.514,0.905,-0.225,False,0.284,NOISE,211,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 2}",-0.037,-4.03,-22.42,102,47.0,-0.639,-23.95,-28.82,69,43.8,258,0.514,0.905,-0.225,False,0.602,NOISE,212,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 5}",-0.375,-18.72,-25.42,86,45.8,-0.64,-16.41,-21.41,52,43.4,258,0.514,0.905,-0.225,False,0.265,NOISE,213,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,momentum,"{""hold"": 10, ""look"": 120}",0.084,2.78,-21.55,58,50.0,-0.657,-24.44,-38.85,70,47.8,258,0.514,0.905,-0.225,False,0.741,NOISE,214,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.19,-7.19,-10.28,77,44.6,-0.662,-15.61,-19.97,60,41.0,258,0.514,0.905,-0.225,False,0.472,NOISE,215,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,momentum,"{""hold"": 20, ""look"": 20}",0.032,-0.43,-29.13,200,49.4,-0.666,-22.39,-26.81,92,46.5,258,0.514,0.905,-0.225,False,0.698,NOISE,216,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 10, ""n"": 2}",-0.332,-15.74,-27.34,67,44.3,-0.668,-16.09,-20.51,56,44.4,258,0.514,0.905,-0.225,False,0.336,NOISE,217,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,momentum,"{""hold"": 5, ""look"": 60}",-0.195,-16.84,-32.93,108,49.1,-0.677,-30.15,-40.28,78,47.6,258,0.514,0.905,-0.225,False,0.482,NOISE,218,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,momentum,"{""hold"": 10, ""look"": 60}",-0.397,-28.62,-38.01,107,49.2,-0.677,-30.13,-40.63,79,48.7,258,0.514,0.905,-0.225,False,0.28,NOISE,218,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,vol_break,"{""hold"": 3, ""k"": 1.0}",-0.313,-11.59,-17.26,153,40.8,-0.682,-17.34,-21.57,79,38.9,258,0.514,0.905,-0.225,False,0.369,NOISE,220,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 20, ""n"": 2}",-0.011,-1.66,-17.88,105,45.3,-0.684,-17.92,-23.52,74,40.5,258,0.514,0.905,-0.225,False,0.673,NOISE,221,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,momentum,"{""hold"": 10, ""look"": 120}",0.165,7.89,-18.53,44,51.4,-0.693,-23.14,-35.24,47,46.6,258,0.514,0.905,-0.225,False,0.858,NOISE,222,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 20, ""n"": 2}",-0.196,-8.78,-17.69,85,45.7,-0.703,-17.78,-22.22,49,42.8,258,0.514,0.905,-0.225,False,0.507,NOISE,223,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,vol_break,"{""hold"": 10, ""k"": 1.0}",-0.116,-8.64,-19.33,110,46.1,-0.718,-24.67,-28.73,72,44.9,258,0.514,0.905,-0.225,False,0.602,NOISE,224,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,vol_break,"{""hold"": 5, ""k"": 1.0}",-0.55,-22.43,-27.28,142,42.4,-0.718,-20.41,-23.29,77,41.5,258,0.514,0.905,-0.225,False,0.168,NOISE,224,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,donchian,"{""n"": 10}",-0.734,-37.79,-53.02,54,47.2,-0.725,-24.04,-37.29,36,45.3,258,0.514,0.905,-0.225,False,-0.009,NOISE,226,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 5}",-0.128,-9.37,-18.56,248,47.8,-0.734,-28.68,-41.57,129,44.1,258,0.514,0.905,-0.225,False,0.606,NOISE,227,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,ma_cross,"{""fast"": 10, ""slow"": 50}",-0.266,-21.19,-42.41,52,48.8,-0.76,-32.9,-36.8,34,46.7,258,0.514,0.905,-0.225,False,0.494,NOISE,228,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 20, ""n"": 2}",-0.053,-3.82,-23.34,114,43.9,-0.763,-17.7,-21.45,77,42.0,258,0.514,0.905,-0.225,False,0.71,NOISE,229,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,vol_break,"{""hold"": 10, ""k"": 1.5}",-0.387,-10.71,-11.46,18,43.1,-0.787,-9.81,-12.0,8,39.6,258,0.514,0.905,-0.225,False,0.4,NOISE,230,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
