unit_id,delta_mean,delta_sum,n_trades,deviated,block,first_entry
99,0.1316702786579368,0.2633405573158736,2,True,5,2023-03-03
100,-1.2442978300836685,-1.2442978300836685,1,True,5,2023-04-04
101,-0.24193533382044655,-0.9677413352817862,4,True,5,2023-05-02
102,-0.10214553609524339,-0.510727680476217,5,True,5,2023-06-02
103,-0.8917906304511751,-4.458953152255876,5,True,5,2023-07-04
104,-0.323585012751012,-1.61792506375506,5,True,5,2023-08-02
105,-0.17980332503238128,-0.7192133001295251,4,True,5,2023-09-04
106,-0.06941122897519096,-0.27764491590076384,4,True,5,2023-10-03
107,0.6512898496769043,1.953869549030713,3,True,5,2023-11-02
108,1.131626857760696,4.526507431042784,4,True,5,2023-12-04
109,-0.34055740521720373,-1.362229620868815,4,True,5,2024-01-03
110,1.6653345369377348e-16,6.661338147750939e-16,4,False,5,2024-02-05
111,-0.4828224491198065,-1.931289796479226,4,True,5,2024-03-04
112,0.0,0.0,1,False,5,2024-04-02
113,-0.20941792042525936,-0.8376716817010375,4,True,5,2024-04-03
114,-5.169475958410885e-15,-5.169475958410885e-15,1,False,5,2024-05-02
115,-0.18030098972687988,-0.7212039589075195,4,True,5,2024-05-03
116,-0.5567270874771422,-2.2269083499085687,4,True,5,2024-06-04
117,-0.7168431674888809,-2.8673726699555235,4,True,5,2024-07-03
118,-0.34950597277013495,-1.3980238910805398,4,True,5,2024-09-03
119,-0.6474890251843615,-0.6474890251843615,1,True,5,2024-10-03
120,0.22131493325338092,0.8852597330135237,4,True,5,2024-12-03
