pair,entry_date,exit_date,direction,pnl_pct,risk_pct,hold_days,exit_reason
EURUSD=X,2023-11-02,2023-11-02,-1,-0.00019164972475164908,0.01,1,reversal
GBPUSD=X,2023-11-02,2023-11-02,-1,-1.2219630589948832e-05,0.01,1,reversal
AUDUSD=X,2023-11-02,2023-11-06,-1,-0.015060768335055824,0.01,3,trailing_stop
EURUSD=X,2023-11-03,2023-11-09,1,0.008383421327444162,0.01,5,time
GBPUSD=X,2023-11-03,2023-11-09,1,0.007511467367163624,0.01,5,time
GBPUSD=X,2023-12-04,2023-12-04,-1,-0.00025149465108922984,0.01,1,reversal
USDJPY=X,2023-12-04,2023-12-08,1,-0.01449174715422808,0.01,5,trailing_stop
EURUSD=X,2023-12-05,2023-12-11,1,-0.006855759619798878,0.01,5,time
GBPUSD=X,2023-12-05,2023-12-11,1,-0.006474512482295386,0.01,5,time
AUDUSD=X,2023-12-05,2023-12-11,-1,0.0052512885547642725,0.01,5,time
EURUSD=X,2024-01-03,2024-01-09,-1,-0.0011109251450098889,0.01,5,time
GBPUSD=X,2024-01-03,2024-01-09,-1,-0.009812228199578676,0.01,5,time
USDJPY=X,2024-01-03,2024-01-09,1,0.014549959456259025,0.01,5,time
AUDUSD=X,2024-01-03,2024-01-09,-1,0.006376487397224524,0.01,5,time
EURUSD=X,2024-02-05,2024-02-09,1,-0.000472949490203948,0.01,5,time
GBPUSD=X,2024-02-05,2024-02-09,1,9.287163244971658e-05,0.01,5,time
USDJPY=X,2024-02-05,2024-02-09,1,0.0050611881312168676,0.01,5,time
AUDUSD=X,2024-02-05,2024-02-09,1,-0.001534305839724913,0.01,5,time
USDJPY=X,2024-03-04,2024-03-07,1,-0.0056281175623268415,0.01,4,trailing_stop
AUDUSD=X,2024-03-04,2024-03-04,-1,-0.000370941296320087,0.01,1,reversal
EURUSD=X,2024-03-05,2024-03-11,1,0.007873875108292683,0.01,5,time
GBPUSD=X,2024-03-05,2024-03-11,1,0.012787305143931836,0.01,5,time
AUDUSD=X,2024-03-05,2024-03-11,1,0.017547754225428203,0.01,5,time
USDJPY=X,2024-04-02,2024-04-02,1,-7.434585920917415e-05,0.01,1,reversal
AUDUSD=X,2024-04-02,2024-04-02,-1,-0.0003732068546591584,0.01,1,reversal
EURUSD=X,2024-04-03,2024-04-09,1,0.00861770095111604,0.01,5,time
GBPUSD=X,2024-04-03,2024-04-09,1,0.006334011354395973,0.01,5,time
USDJPY=X,2024-04-03,2024-04-11,-1,-0.009563081718910179,0.01,7,trailing_stop
AUDUSD=X,2024-04-03,2024-04-09,1,0.01352375137223221,0.01,5,time
AUDUSD=X,2024-05-02,2024-05-02,-1,-0.00037071520969315165,0.01,1,reversal
EURUSD=X,2024-05-03,2024-05-09,1,0.0010744951784420066,0.01,5,time
GBPUSD=X,2024-05-03,2024-05-09,1,-0.0039214225988506435,0.01,5,time
USDJPY=X,2024-05-03,2024-05-09,1,0.015471125656815065,0.01,5,time
AUDUSD=X,2024-05-03,2024-05-09,1,0.0004414809546652124,0.01,5,time
EURUSD=X,2024-06-04,2024-06-10,1,-0.011993398571176362,0.01,5,stop
GBPUSD=X,2024-06-04,2024-06-10,1,-0.006495826214159257,0.01,5,time
USDJPY=X,2024-06-04,2024-07-02,1,0.03491049461608773,0.01,21,reversal
AUDUSD=X,2024-06-04,2024-06-10,1,-0.01642277057822041,0.01,5,trailing_stop
EURUSD=X,2024-06-14,2024-07-02,-1,-7.174318331623649e-05,0.01,13,reversal
EURUSD=X,2024-07-03,2024-07-09,1,0.00746425820316675,0.01,5,time
GBPUSD=X,2024-07-03,2024-07-09,1,0.009850994162092268,0.01,5,time
USDJPY=X,2024-07-03,2024-07-12,-1,0.020280656418758897,0.01,8,time
AUDUSD=X,2024-07-03,2024-07-09,1,0.010857591278083889,0.01,5,time
AUDUSD=X,2024-08-02,2024-08-09,-1,-0.015346498212354865,0.01,6,trailing_stop
EURUSD=X,2024-09-03,2024-09-11,1,-0.0044167235605739605,0.01,7,trailing_stop
GBPUSD=X,2024-09-03,2024-09-20,1,0.010478467583147289,0.01,14,time
USDJPY=X,2024-09-03,2024-09-05,1,-0.023225440791339313,0.01,3,trailing_stop
AUDUSD=X,2024-09-03,2024-09-04,1,-0.011157392465765067,0.01,2,trailing_stop
AUDUSD=X,2024-09-06,2024-09-09,1,-0.010700898774817101,0.01,2,trailing_stop
EURUSD=X,2024-09-20,2024-10-10,-1,0.01935182748591072,0.01,15,time
AUDUSD=X,2024-10-03,2024-10-07,1,-0.012915812105960484,0.01,3,trailing_stop
GBPUSD=X,2024-11-11,2024-11-29,-1,0.016733941531612815,0.01,15,time
EURUSD=X,2024-12-03,2024-12-09,1,0.005898113697775737,0.01,5,time
GBPUSD=X,2024-12-03,2024-12-09,-1,-0.00739628602980961,0.01,5,time
USDJPY=X,2024-12-03,2024-12-09,1,0.0034488973315174695,0.01,5,time
AUDUSD=X,2024-12-03,2024-12-09,1,-0.01201462556225631,0.01,5,trailing_stop
