event_date,release_name,importance,symbol,horizon,session_date,session_weekday,metric,value
2024-01-26,Personal Income and Outlays,1.0,NVDA,0,2024-01-26,Friday,range_pct,0.01984908136482941
2024-01-26,Personal Income and Outlays,1.0,NVDA,0,2024-01-26,Friday,realized_vol,0.016385333468297084
2024-01-26,Personal Income and Outlays,1.0,NVDA,1,2024-01-29,Monday,ret,0.019918367346938748
2024-01-26,Personal Income and Outlays,1.0,NVDA,1,2024-01-29,Monday,abs_ret,0.019918367346938748
2024-01-26,Personal Income and Outlays,1.0,NVDA,1,2024-01-29,Monday,range_pct,0.025795918367347025
2024-01-26,Personal Income and Outlays,1.0,NVDA,1,2024-01-29,Monday,realized_vol,0.010924400177708711
2024-01-26,Personal Income and Outlays,1.0,NVDA,2,2024-01-30,Tuesday,ret,-0.0023847376788552754
2024-01-26,Personal Income and Outlays,1.0,NVDA,2,2024-01-30,Tuesday,abs_ret,0.0023847376788552754
2024-01-26,Personal Income and Outlays,1.0,NVDA,2,2024-01-30,Tuesday,range_pct,0.019554848966613737
2024-01-26,Personal Income and Outlays,1.0,NVDA,2,2024-01-30,Tuesday,realized_vol,0.014475922344039332
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-01,Thursday,ret,0.01497343422959263
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-01,Thursday,abs_ret,0.01497343422959263
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-01,Thursday,range_pct,0.024794719046852345
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-01,Thursday,realized_vol,0.013664247298267542
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-02,Friday,ret,0.034078474284821025
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-02,Friday,abs_ret,0.034078474284821025
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-02,Friday,range_pct,0.04549007347193992
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-02,Friday,realized_vol,0.016223875762966373
