date,weekday,r_impulse,abs_r_impulse,r_continuation
2016-02-17,Wednesday,-0.0001572079861656972,0.0001572079861656972,0.0002620545073375169
2016-02-18,Thursday,-5.172235440153994e-05,5.172235440153994e-05,0.0
2016-02-19,Friday,-0.0013566397078007553,0.0013566397078007553,0.0008881922675025855
2016-02-22,Monday,0.00020611119699087688,0.00020611119699087688,-0.0003606388459556076
2016-02-23,Tuesday,0.00010323646311882761,0.00010323646311882761,0.0004129032258064491
2016-02-24,Wednesday,0.0001049703458773088,0.0001049703458773088,-0.0005771248688352104
2016-02-25,Thursday,0.0011359529095884557,0.0011359529095884557,-0.001908003300329919
2016-02-26,Friday,0.00010160536476333526,0.00010160536476333526,-5.0797521081058505e-05
2016-02-29,Monday,0.0003594905505339696,0.0003594905505339696,0.000770060064685163
2016-03-01,Tuesday,0.00046205975972890556,0.00046205975972890556,0.0003079449804967993
2016-03-02,Wednesday,0.00025267839094400557,0.00025267839094400557,-5.0535678188801114e-05
2016-03-03,Thursday,0.00010058844238791664,0.00010058844238791664,-0.0005532086099376832
2016-03-04,Friday,0.001699235344095218,0.001699235344095218,0.0012971462781878884
2016-03-07,Monday,-0.00010028581457155461,0.00010028581457155461,-0.00020060180541625616
2016-03-08,Tuesday,-0.00020044097013427464,0.00020044097013427464,0.00040092212087805557
2016-03-09,Wednesday,-0.00025055121266792657,0.00025055121266792657,0.00025058888387707867
2016-03-10,Thursday,9.94332305856993e-05,9.94332305856993e-05,0.0005468283953071751
2016-03-11,Friday,-0.00024849659559667003,0.00024849659559667003,0.0005965697240866152
2016-03-14,Monday,0.0,0.0,-0.00014839730906213155
2016-03-15,Tuesday,-0.0002481882259506296,0.0002481882259506296,-0.0008440913604766953
2016-03-16,Wednesday,-0.00019802960542614212,0.00019802960542614212,-0.00034662045060651625
2016-03-17,Thursday,0.0004440935557090686,0.0004440935557090686,0.00019728729963008895
2016-03-18,Friday,-9.798157946305786e-05,9.798157946305786e-05,4.899318994655566e-05
2016-03-21,Monday,-0.000343154076180352,0.000343154076180352,0.0005884660651236384
2016-03-22,Tuesday,0.0,0.0,0.0004903402961655701
2016-03-23,Wednesday,-4.885675200316797e-05,4.885675200316797e-05,-0.00029315483461167524
2016-03-24,Thursday,0.0,0.0,-9.888751545117369e-05
2016-03-28,Monday,0.000490869821323292,0.000490869821323292,-4.90725291980576e-05
2016-03-29,Tuesday,0.0,0.0,-0.00014798007201699548
2016-03-30,Wednesday,9.703085581214133e-05,9.703085581214133e-05,0.0002425771395302423
2016-03-31,Thursday,0.0001941747572815622,0.0001941747572815622,-0.00019413706076487625
2016-04-01,Friday,0.0008302808302806941,0.0008302808302806941,-0.00024403338376677297
2016-04-04,Monday,-4.8246248854244556e-05,4.8246248854244556e-05,-0.00024124288333482458
2016-04-05,Tuesday,-0.00019540791402050672,0.00019540791402050672,-0.0005863383172090009
2016-04-06,Wednesday,-4.887346659510072e-05,4.887346659510072e-05,0.00029324079956971616
2016-04-07,Thursday,0.0001946282600233662,0.0001946282600233662,4.865469761106134e-05
2016-04-08,Friday,0.0,0.0,0.0016561936772370167
2016-04-11,Monday,-4.8740069210850834e-05,4.8740069210850834e-05,0.0006823609689525778
2016-04-12,Tuesday,4.8930860693685574e-05,4.8930860693685574e-05,0.0002935707994911052
2016-04-13,Wednesday,-0.00038628681796226694,0.00038628681796226694,0.000338180588434156
2016-04-14,Thursday,0.0004809310825757418,0.0004809310825757418,0.0002883922134102601
2016-04-15,Friday,4.813941173642533e-05,4.813941173642533e-05,-0.0003369434416365946
2016-04-18,Monday,0.0,0.0,0.0005309392798531487
2016-04-19,Tuesday,-0.00019045805161421736,0.00019045805161421736,-0.0005238594151822928
