date,weekday,ret,abs_ret,range_pct,fh_abs_ret,sh_abs_ret
2016-02-01,Monday,0.0012491542184980275,0.0012491542184980275,0.0022901160672461236,0.0015093946806850056,0.0003118016941225932
2016-02-02,Tuesday,-0.0008855089071777567,0.0008855089071777567,0.010053130534430707,0.0011459527034065609,0.0019772100525521363
2016-02-03,Wednesday,0.002935010482180367,0.002935010482180367,0.004245283018867937,0.002672955974842628,0.00026135591448439577
2016-02-04,Thursday,-0.002204724409448744,0.002204724409448744,0.005459317585301796,0.00020997375328080103,0.002099958000839841
2016-02-05,Friday,-0.004026143790849757,0.004026143790849757,0.0063267973856209565,0.0028758169934640643,0.001415465268676308
2016-02-08,Monday,0.002316186372205875,0.002316186372205875,0.00269323996768112,0.0010234311877188595,0.0014530972498789652
2016-02-09,Tuesday,-0.0029327105849128454,0.0029327105849128454,0.0041275186009883825,0.0018465214793895735,0.0009794852260979203
2016-02-10,Wednesday,-0.0022943122398888516,0.0022943122398888516,0.005549034254615261,0.002134243944082681,5.347593582882837e-05
2016-02-11,Thursday,-0.0008230452674897748,0.0008230452674897748,0.0031275720164608677,0.0010973936899862924,0.0017541936191206586
2016-02-12,Friday,0.0023294869711252275,0.0023294869711252275,0.004767322173465494,0.0033046210520613073,0.0009179761326204572
2016-02-16,Tuesday,5.306447333519593e-05,5.306447333519593e-05,0.002865481560095474,0.0013796763067126516,0.0013283034907816127
2016-02-17,Wednesday,0.0006812346067179842,0.0006812346067179842,0.0017816905098779195,0.0006812346067179842,5.236424569299292e-05
2016-02-18,Thursday,0.00041377883521254155,0.00041377883521254155,0.0014482259232440318,5.172235440153994e-05,0.0005172770535899485
2016-02-19,Friday,-0.002608922515001333,0.002608922515001333,0.004226454474302125,0.0009392121054004887,0.0018276762402088531
2016-02-22,Monday,0.000721389189467736,0.000721389189467736,0.0013397227804400006,0.00010305559849532742,0.0008245297603710622
2016-02-23,Tuesday,0.0029422391988851437,0.0029422391988851437,0.003510039746038336,0.0014453104836629205,0.001546391752577314
2016-02-24,Wednesday,0.0009447331128955572,0.0009447331128955572,0.0022568624363617637,0.0001574555188159632,0.0009972706277556753
2016-02-25,Thursday,0.0008777817937730692,0.0008777817937730692,0.002478442711829348,0.00015490266948936515,0.0007227671657201729
2016-02-26,Friday,-0.0009144482828693512,0.0009144482828693512,0.002794147530989694,0.0015240804714486966,0.002384213463196838
2016-02-29,Monday,0.002927280197206228,0.002927280197206228,0.0035949055053409442,0.0027218570254725627,0.0002560950624870273
2016-03-01,Tuesday,0.000770099599548324,0.000770099599548324,0.0008727795461545718,0.0004107197864258172,0.00030789757274085616
2016-03-02,Wednesday,-0.0003032140691328067,0.0003032140691328067,0.0011117849201536228,0.0003537497473216078,5.0553561498301036e-05
2016-03-03,Thursday,-0.000150882663581986,0.000150882663581986,0.0012573555298496203,0.00020117688477605533,0.00010059350165969594
2016-03-04,Friday,-0.0018491678744565476,0.0018491678744565476,0.005947323704333039,0.0008995951821679782,0.0027960854803275037
2016-03-07,Monday,-0.0009527152384295468,0.0009527152384295468,0.0017550017550017265,0.0007020007020007712,0.00020072260136483333
2016-03-08,Tuesday,0.0008518741230707505,0.0008518741230707505,0.002455401884145165,0.001703748246141501,0.0008504252126063649
2016-03-09,Wednesday,-0.0004008819402686603,0.0004008819402686603,0.0013028663058730172,0.0005011024253357421,5.013285205790474e-05
2016-03-10,Thursday,-0.001988664611713098,0.001988664611713098,0.005120811375161585,0.0007457492293925228,0.0027819175360158654
2016-03-11,Friday,0.0,0.0,0.0011927836588637775,0.0006460911485512977,0.00064650885219808
2016-03-14,Monday,-0.0004452139500371599,0.0004452139500371599,0.0006925550333911194,0.0001978728666831575,9.897070467146385e-05
2016-03-15,Tuesday,-0.00039710116152091857,0.00039710116152091857,0.0017869552268441062,0.0007445646778516668,0.00039741679085936177
2016-03-16,Wednesday,-0.002574384870538182,0.002574384870538182,0.0034160106935986817,0.0016832516461211533,0.0009917191451380702
